query,target,window,pred,gt,signed_score_pct,direction
Block Count (Window),blocking,111,20,0,+100.0,over
Block Count (Window),blocking,112,20,0,+100.0,over
Block Count (Window),blocking,113,20,0,+100.0,over
Block Count (Window),blocking,114,20,0,+100.0,over
Block Count (Window),blocking,115,20,0,+100.0,over
Block Count (Window),blocking,116,19,0,+100.0,over
Block Count (Window),blocking,117,20,0,+100.0,over
Block Count (Window),blocking,118,20,0,+100.0,over
Block Count (Window),blocking,119,20,0,+100.0,over
Block Count (Window),blocking,120,20,0,+100.0,over
Block Count (Window),blocking,121,20,0,+100.0,over
Block Count (Window),blocking,122,20,0,+100.0,over
Block Count (Window),blocking,123,20,10,+33.3,over
Block Count (Window),blocking,124,20,10,+33.3,over
Block Count (Window),blocking,125,20,0,+100.0,over
Block Count (Window),blocking,126,20,0,+100.0,over
Block Count (Window),blocking,127,20,0,+100.0,over
Block Count (Window),blocking,128,20,0,+100.0,over
Block Count (Window),blocking,129,20,7,+48.1,over
Block Count (Window),blocking,130,20,13,+21.2,over
Block Count (Window),blocking,131,20,0,+100.0,over
Block Count (Window),blocking,132,20,0,+100.0,over
Block Count (Window),blocking,133,20,5,+60.0,over
Block Count (Window),blocking,134,20,15,+14.3,over
Block Count (Window),blocking,135,20,0,+100.0,over
Block Count (Window),blocking,136,20,0,+100.0,over
Block Count (Window),blocking,137,20,0,+100.0,over
Block Count (Window),blocking,138,20,0,+100.0,over
Block Count (Window),blocking,139,20,0,+100.0,over
Block Count (Window),blocking,140,19,0,+100.0,over
Block Count (Window),blocking,141,19,0,+100.0,over
Block Count (Window),blocking,142,16,0,+100.0,over
Block Count (Window),blocking,143,18,0,+100.0,over
Block Count (Window),blocking,144,20,0,+100.0,over
Block Count (Window),blocking,145,20,0,+100.0,over
Block Count (Window),blocking,146,20,0,+100.0,over
Block Count (Window),blocking,147,20,0,+100.0,over
Block Count (Window),blocking,148,20,0,+100.0,over
Block Count (Window),blocking,149,20,0,+100.0,over
Block Count (Window),blocking,150,20,17,+8.1,over
Block Count (Window),blocking,151,20,3,+73.9,over
